No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren,
67,7/14/2025,2025,PT Sari Kreasi Boga Tbk.,Waralaba makanan dan minuman (Kebab Baba Rafi),Jakarta Pusat,Konsumen non primer,Tbk,,Undisclosed,,,,
68,2/20/2025,2025,PT. Agregat Prima Indonesia,Produksi material agregat untuk konstruksi,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp59.077.852.389,Rp1.288.406.011,Rp2.508.895.260,
69,2/20/2025,2025,CV AYU WULAN LESTARI,Perdagangan umum,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
70,5/27/2025,2025,PT Lantai Emas Kemenangan Jaya,Manufaktur dan perdagangan material lantai,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp88.408.327.928,,Rp18.494.012.845,
71,5/14/2025,2025,PT. TUNAS MAKMUR JAYA ABADI,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,Rp9.758.000.000,,Rp18.113.883.250,
72,6/23/2025,2025,PT Anugerahinti Gemahnusa,Pertanian dan perdagangan agrikultur,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
73,1/6/2025,2025,Djoesianto Law,Firma hukum (corporate law & keuangan),Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
74,2/3/2025,2025,PT. Albizzia Sinar Lestari Indah,Perkebunan kayu dan kehutanan (sengon/albizzia),Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
75,9/16/2025,2025,PT GANDARIA MEDIKA,Layanan kesehatan dan rumah sakit,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
76,2/17/2025,2025,PT BUKIT LENTERA SEJAHTERA,Pertambangan atau investasi sumber daya alam,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
77,11/17/2025,2025,PT SAMUDRA AGUNG REALITY,Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
78,8/21/2025,2025,PT PRIMA PERAHU AGUNG,Jasa transportasi laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
79,11/24/2025,2025,PT. Tanjung Cemerlang Shipping,Jasa pelayaran dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
80,8/26/2025,2025,PT GRAHA BUANA PERSADA,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
81,10/22/2025,2025,PT Sukanda Djaya,Distribusi makanan & minuman cold chain (Diamond Group),Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
82,3/10/2025,2025,PT Mitra Rajawali Banjaran,Manufaktur alat kesehatan berbasis latex (BUMN),Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp7.954.803.112,,Rp109.396.786.289,
83,7/21/2025,2025,PT HECHUAN INDONESIA,Manufaktur industri (investasi China),Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
84,2/3/2025,2025,PT Prima Sarana Ekspres,Jasa ekspedisi dan pengiriman barang,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
85,11/3/2025,2025,PT Semangat Makmur Sentosa,Perdagangan umum dan distribusi,Makassar,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
86,7/8/2025,2025,PT Yufa Kalimantan,Perdagangan umum dan distribusi Kalimantan,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
87,12/29/2025,2025,PT. Sumber Lautan Rejeki,Pengolahan dan distribusi hasil laut,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,,
88,11/3/2025,2025,PT. Gunung Putri Graha Mas,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,,,Rp2.989.061.779,
89,11/17/2025,2025,PT PABRIK KERTAS INDONESIA DISINGKAT PT PAKERIN,Manufaktur dan produksi kertas,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
90,12/1/2025,2025,PT BAGAN CITRA LESTARI,Produksi dan distribusi produk konsumen,Medan,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
91,3/18/2025,2025,YAYASAN PENDIDIKAN DAN SOSIAL DWIWARNA,Pendidikan dan kegiatan sosial (Yayasan TNI AD),Medan,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
92,9/18/2025,2025,PT. Minamas Gemilang,Perkebunan kelapa sawit dan pengolahan CPO,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
93,10/27/2025,2025,PT Kartika Inphilekatama Perdana,Konstruksi dan properti,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
94,6/5/2025,2025,CV Sealant Malang,Perdagangan produk sealant dan bahan bangunan,Surabaya,Perindustrian,Bukan Tbk,,Disclosed,Rp236.401.112,,,
95,7/15/2025,2025,PT Arinofa Visi Karya Indonesia,Distribusi alat kesehatan dan farmasi,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
96,10/13/2025,2025,PT METAL SUKSES CEMERLANG,Manufaktur produk logam dan baja,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,,
97,10/30/2025,2025,PT PROCARGO UTAMA MANDIRI,Jasa angkutan dan logistik kargo,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
98,7/9/2025,2025,PT. OXLEY KARYA INDO BATAM,Pengembang properti dan kawasan terpadu,Medan,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
99,3/20/2025,2025,PT. GRAHA ORBIT LINTAS DUNIA (citinineproperty),Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Disclosed,Rp9.268.328.231,Rp486.896,Rp809.676.000,
100,2/6/2025,2025,PT. BUMI KITA PERTIWI DAN EDWIN YANI WIDJAJA,Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
101,9/25/2025,2025,PT Cheria Halal Wisata,Jasa perjalanan wisata halal,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
102,12/10/2025,2025,PT WIDJAJA PUTRA JAYA,Konstruksi dan kontraktor kayu,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
103,2/18/2025,2025,PT. Trive Invest Fiture,Investasi dan jasa keuangan,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
104,3/6/2025,2025,PT Gitareksa Dinamika,Jasa keuangan dan investasi,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
105,12/22/2025,2025,PT. AIHO INDAH ditulis dan disebut juga AIHO HOTEL MEDAN (dahulu disebut juga RADISSON HOTEL MEDAN),Hotel dan akomodasi,Medan,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
106,10/29/2025,2025,PT. HAI YIN,Perdagangan umum (perusahaan China-Indonesia),Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
107,3/11/2025,2025,PT Sejahtera Bintang Abadi Textile Tbk.,Manufaktur tekstil dan produk benang,Jakarta Pusat,Bahan baku,Tbk,,Disclosed,Rp954.023.513,,,
108,3/24/2025,2025,PT DISANTA,Perdagangan umum udang,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,Rp151.813.286.578,,Rp51.053.935.639,
109,9/22/2025,2025,CV. Mitra Technosains,Konsultasi teknologi dan rekayasa,Surabaya,Teknologi,Bukan Tbk,,Undisclosed,,,,
110,2/20/2025,2025,PT CREDIT UP INDUSTRY INDONESIA,Manufaktur dan industri,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
111,7/25/2025,2025,PT. Nawata Kurnia Putra,Pengadaan genset AGG Power,Surabaya,Konsumen non primer,Bukan Tbk,,Disclosed,Rp147.099.295.476,,Rp4.935.777.304,
112,3/10/2025,2025,PT. HASTASAKTI SEJATI,Manufaktur dan distribusi produk industri,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp9.375.332.134,,Rp2.045.210.630,
113,11/3/2025,2025,PT Universal Indofood Product,Produksi dan distribusi produk makanan,Medan,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
114,5/22/2025,2025,PT. Super Sonic Indonesia,Hiburan dan pertunjukan (event),Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
115,5/22/2025,2025,PT. Neutron Live Asia,Hiburan dan event organizer,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
116,7/21/2025,2025,PT. HAMANROKO,Manufaktur dan perdagangan umum,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
117,11/17/2025,2025,PT Fantastis Anak Bangsa Indonesia,Hiburan dan pertunjukan,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,Rp13.731.515.160,Rp14.543.733.489,Rp37.710.141.079,
118,8/21/2025,2025,PT Citra Tobindo Sukses Perkasa,Pertambangan mineral & energi,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
119,11/27/2025,2025,PT. ALINCO,Perdagangan dan distribusi,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
120,9/11/2025,2025,PT Shigei Apparel Indonesia,Manufaktur garmen dan pakaian,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
121,2/25/2025,2025,PT. SMART GLOVE INDONESIA,Manufaktur sarung tangan karet,Medan,Perindustrian,Bukan Tbk,,Disclosed,,,Rp10.917.456.729,
122,12/15/2025,2025,PT. Borneo Makmur Bersama,Perdagangan dan agribisnis Kalimantan,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
123,2/13/2025,2025,PT Mitra Utama Energi,Perdagangan dan distribusi energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,Rp317.956.147.696,,Rp20.792.861.735,
124,1/3/2025,2025,PT. Graha Indah Kirana,Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp30.852.041.684,,Rp13.809.598.074,
125,9/16/2025,2025,PT. Ichiko Agro Lestari,Perkebunan dan agribisnis,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
126,7/14/2025,2025,PT MERPATI ABADI SEJAHTERA,Transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp357.442.633.100,,,
127,6/30/2025,2025,PT. SRIMURNI SURABAYA,Manufaktur produk kayu dan furnitur,Surabaya,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
128,3/13/2025,2025,PT. TIRTAMAS LESTARI,Produksi air minum dalam kemasan (AMDK),Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
129,4/14/2025,2025,PT SIMCO ENERGI PRATAMA,Jasa teknis dan kontraktor sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
130,9/22/2025,2025,"PT.WIJAYA KARYA BANGUNAN GEDUNG,Tbk",Konstruksi bangunan gedung dan properti,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
131,8/14/2025,2025,PT KARYA SENTOSA RAYA,Kontraktor konstruksi,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
132,1/8/2025,2025,PT Sejahtera Bintang Abadi Textile Tbk,Manufaktur tekstil dan produk benang,Jakarta Pusat,Bahan baku,Tbk,,Disclosed,,,Rp2.843.534.635,
133,9/8/2025,2025,PT Putera Master Sarana Penyeberangan Mulia,Jasa penyeberangan dan transportasi laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
134,11/20/2025,2025,PT. ASP PLASTIK TRADING,Perdagangan dan distribusi bahan plastik,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
135,11/20/2025,2025,PT. ADD VANTAGE TEKNOLOGI,Teknologi informasi dan solusi digital,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
136,1/2/2025,2025,PT. MULTISARI LANGGENGJAYA,Produksi & distribusi produk pangan,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
137,6/24/2025,2025,PT MARTA BUANA ABADI NEW DIMONIM AIR,Penerbangan perintis dan jasa udara,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp2.415.566.222,,Rp49.039.096.329,
138,5/28/2025,2025,PT. BINTANG MAS PUSAKA,Perdagangan umum dan distribusi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp42.139.609.149,,Rp5.146.757.042,
139,1/7/2025,2025,PT. MULIA PERMATA,Perdagangan dan distribusi produk industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp20.000.000.000,,Rp69.996.819.641,
140,1/14/2025,2025,PT MAJU JAYA SEJAHTERA PLYWOOD INDUSTRI,Manufaktur produk kayu dan plywood,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
141,11/26/2025,2025,PT Logol Jakarta Mitraindo,Logistik dan distribusi,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,,,Rp9.901.879.301,
142,10/20/2025,2025,CV Yodan Permata Bunga,Perdagangan & distribusi umum,Medan,Perindustrian,Bukan Tbk,,Undisclosed,,,,
143,8/4/2025,2025,PT BINTANG SUKSES ENERGI,Jasa kontraktor dan perdagangan sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,Rp70.404.186.850,,Rp198.095.312.166,
144,8/4/2025,2025,PT. Totalindo Eka Persada Tbk.,Konstruksi bangunan gedung bertingkat,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
145,7/16/2025,2025,PT Surya Transportasi Jaya,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp9.720.323.758,,Rp9.144.166.989,
146,4/16/2025,2025,CV. JAGOR JAYA,Jasa transportasi dan distribusi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp76.263.678.231,,Rp12.087.780.649,
147,2/24/2025,2025,PT Ipasa Modern Industri,Manufaktur produk industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp162.883.584.601,,Rp10.887.807.516,
148,2/24/2025,2025,PT AGM Plastic Industry,Manufaktur produk plastik industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp162.883.584.601,,Rp10.887.807.516,
149,6/3/2025,2025,PT Primatama Energi Nusantara,Jasa kontraktor di sektor energi,Surabaya,Energi,Bukan Tbk,,Disclosed,Rp86.689.095.854,,Rp87.473.446.364,
150,6/30/2025,2025,PT ECOS JAYA INDONESIA,Jasa kebersihan lingkungan dan pengelolaan limbah,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp6.056.708.770,,,
151,12/19/2025,2025,PT. Royal Medica Mencirim,Layanan kesehatan dan klinik,Medan,Kesehatan,Bukan Tbk,,Undisclosed,,,,
152,12/11/2025,2025,PT MEWAH NIAGAJAYA,Perdagangan dan distribusi makanan/minuman,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
153,7/21/2025,2025,PT Aero Multi Karya,Jasa teknis penerbangan dan ground handling,Makassar,Perindustrian,Bukan Tbk,,Disclosed,Rp3.051.812.500,,Rp66.734.863.000,
154,9/30/2025,2025,PT. CARDIG AIR,Jasa kargo dan logistik udara,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,,,Rp49.619.424.624,
155,5/28/2025,2025,PT Ubin Keramik Kemenangan Jaya,Manufaktur dan perdagangan keramik lantai,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp33.789.437.608,Rp57.391.927.979,Rp104.370.622.093,
156,11/12/2025,2025,PT FIT & HEALTH INDONESIA,Layanan kesehatan dan kebugaran,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
157,4/14/2025,2025,PT. Tribara Karya,Kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp15.496.680.422,,Rp40.549.368.304,
158,6/19/2025,2025,PT KREATUR PERFORMA SINERGI,Agensi kreatif dan teknologi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,Rp4.121.324.355,Rp7.227.181.364,Rp7.073.933.172,
159,10/8/2025,2025,PT Brow Bros Lombok,Jasa perawatan kecantikan dan grooming,Surabaya,Konsumen non primer,Bukan Tbk,,Disclosed,,,Rp1.439.109.000,
160,2/17/2025,2025,PT Handal Aluminium Sukses,Manufaktur dan distribusi produk aluminium,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,Rp138.029.511.342,,Rp29.258.639.252,
161,2/24/2025,2025,PT Mantari Pipa Perkasa Industry,Manufaktur pipa industri,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
162,1/7/2025,2025,PT KELSRI,Kontraktor konstruksi dan rekayasa,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp11.004.781.349,,Rp262.830.058.906,
163,6/25/2025,2025,PT UNIVERSE DESIGN INDONESIA,Desain dan dekorasi interior,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Disclosed,Rp12.729.712.422,Rp3.816.940.068,Rp16.152.585.834,
164,9/26/2025,2025,CV CAHAYA ILUFA,Perdagangan & jasa pengadaan barang,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
